Country/Region,Lat,Long,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20
Argentina ,-38.4161,-63.6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,11,16,18,18,30,33,44,55,67,78,96,127,157,265,300,386,386,501,588,689,744,819,1053,1053,1132,1264,1450,1450,1553,1627,1714,1794,1974,1974,2141,2207,2276,2442,2570,2668,2757,2838,2940,3030,3143,3434,3606,3779,3891,4002,4126,4284,4427,4531,4680,4782,4886,5019,5207,5370,5610,5775,6033,6277,6562,6878,7133,7478,7804,8067,8370,8808,9282,9930,10648,11352,12075,12627,13227,13932,14701,15418,16213,16850,17414,18318,19267,20196,21036,22019,22793,23619,24760,25986,27372,28763,30294,31576,32784,34158,35551,37509,39569,41203
Singapore ,1.2833,103.8333,44,46,49,57,66,71,74,76,80,83,83,84,84,88,88,90,92,92,92,101,105,107,109,109,116,129,137,149,149,159,177,177,199,211,225,242,265,312,344,384,431,454,508,557,630,682,731,801,843,878,925,999,1048,1113,1188,1308,1374,1480,1622,1909,2107,2298,2531,2917,3251,3698,4426,5049,5991,6587,8013,9124,10140,11177,12074,12692,13623,14422,14950,15640,16168,17100,17547,18204,18777,19409,20197,20938,21706,22459,23335,23821,24670,25345,26097,26890,27355,28037,28342,28793,29363,29811,30425,31067,31615,31959,32342,32875,33248,33859,34365,34883,35291,35835,36404,36921,37182,37526,37909,38295,38513,38964,39386,39849,40196,40603,40817,40968,41215,41472,41614,41832
United Arab Emirates ,24.0,54.0,7,7,7,7,7,7,8,8,8,8,8,8,12,12,12,12,12,12,18,20,20,20,26,26,28,28,44,44,44,73,73,84,84,84,97,97,97,112,139,139,152,152,197,247,332,332,404,467,569,610,663,813,1023,1263,1504,1798,2075,2358,2658,2989,3359,3735,4122,4520,4932,5364,5824,6301,6301,6780,7264,7754,8237,8755,9280,9812,10348,10838,11379,11928,12480,13037,13598,14162,14729,15191,15737,16239,16792,17416,18197,18877,19660,20385,21083,21830,22626,23357,24189,25062,26003,26897,27891,28703,29484,30306,31085,31968,32531,33169,33895,34556,35191,35787,36358,37017,37641,38267,38807,39375,39903,40506,40985,41498,41989,42293,42635,42981,43363,43751,44144,44532
Indonesia ,-0.7893,113.9213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,5,18,26,33,33,68,95,116,133,171,226,310,368,449,513,578,685,789,892,1045,1154,1284,1413,1527,1676,1789,1985,2091,2272,2490,2737,2955,3292,3511,3841,4240,4556,4838,5135,5515,5922,6247,6574,6759,7134,7417,7774,8210,8606,8881,9095,9510,9770,10117,10550,10842,11191,11586,12070,12437,12775,13111,13644,14031,14264,14748,15437,16005,16495,17024,17513,18009,18495,19188,20161,20795,21744,22270,22749,23164,23850,24537,25215,25772,26472,26939,27548,28232,28817,29520,30513,31185,32032,33075,34315,35294,36405,37419,38276,39293,40399,41430,42761,43802,45028
Netherlands ,52.1326,5.2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,17,23,37,81,127,187,264,320,381,502,502,803,958,1134,1412,1704,2050,2459,2993,3630,4203,4748,5559,6411,7430,8602,9761,10865,11749,12594,13613,14696,15722,16626,17850,18802,19579,20548,21761,23096,24412,25586,26550,27418,28152,29213,30448,31588,32654,33404,34133,34841,35728,36534,37189,37844,38244,38415,38801,39315,39790,40235,40570,40769,41086,41318,41773,42092,42381,42626,42787,42983,43210,43480,43680,43869,43994,44140,44248,44446,44699,44887,45063,45235,45444,45577,45767,45949,46125,46256,46441,46544,46646,46732,46941,47151,47334,47573,47738,47902,48086,48250,48460,48639,48782,48947,49086,49203,49318,49425,49501
Ecuador ,-1.8312,-78.1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,9,12,12,12,13,14,14,16,16,16,27,27,36,57,110,198,366,505,788,980,1081,1172,1402,1594,1822,1923,1961,2239,2747,3162,3367,3464,3645,3746,3746,4449,4964,7160,7256,7465,7528,7602,7857,8224,8449,9021,9467,10127,10397,10849,11182,22718,22718,22718,23239,24257,24674,24933,26335,27463,29537,31880,31880,31880,30297,28817,29070,29558,29508,30418,30485,30501,31466,32762,33181,33581,34150,34853,35305,35827,36257,36755,37354,37354,38102,38470,38570,38570,39097,39097,40413,40965,40965,41574,42727,43119,43377,43916,44439,44439,45777,46355,46750,47321,47942,48489,49096,49730,49730
Egypt ,26.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,14,14,48,54,58,59,66,79,108,109,149,195,195,255,284,293,326,365,401,455,494,535,575,608,655,709,778,864,984,1069,1172,1321,1449,1559,1698,1793,1938,2064,2189,2349,2504,2672,2843,3031,3143,3332,3489,3658,3890,4091,4318,4533,4781,5041,5267,5536,5894,6192,6464,6812,7200,7587,7980,8475,8963,9399,9745,10092,10430,10828,11227,11718,12228,12763,13483,14228,15002,15785,16512,17264,17966,18755,19665,20792,22081,23448,24984,26383,27535,28614,29766,31114,32611,34078,35443,36828,38283,39725,41302,42979,44597,46288,47855,49218,50436,52210,53757
Quebec | Canada ,52.9399,-73.5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,7,8,16,16,23,49,73,93,120,138,180,218,627,1012,1341,1631,2023,2497,2839,3429,4161,4610,5517,6100,6100,7943,8579,9339,10030,10911,11676,12291,12845,13556,14247,14859,15856,16797,17520,17949,19318,20125,20964,21837,22615,23266,24108,24982,25760,26609,27549,28655,29663,31872,32630,33424,34333,35248,36160,36996,37731,38479,39234,39939,40731,41428,42191,42927,43635,44205,44783,45503,46149,46846,47419,47992,48606,49147,49710,50231,50650,51058,51353,51592,51883,52142,52397,52623,52848,53046,53184,53340,53484,53665,53823,53951,54053,54145,54262,54382,54549,54673
Sweden ,63.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,11,13,14,20,34,93,100,160,202,247,354,499,598,813,960,1021,1102,1189,1278,1438,1638,1762,1933,2045,2285,2525,2839,3068,3446,3699,4027,4434,4946,5567,6130,6442,6829,7205,7692,8418,9140,9684,10150,10482,10947,11444,11926,12539,13215,13821,14384,14776,15321,16003,16754,17566,18176,18639,18925,19620,20301,21091,21519,22081,22316,22720,23215,23917,24622,25264,25920,26321,26669,27271,27908,28581,29206,29676,30142,30376,30798,31522,32171,32808,33187,33458,33842,34439,35087,35726,36475,37112,37541,37813,38588,40802,41882,42938,43886,44729,45132,45923,46813,48287,49683,50930,51613,52382,53322,54561,56042,56042,56042
Belarus ,53.7098,27.9534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,8,8,11,26,26,26,35,35,50,50,68,75,75,80,80,85,85,93,93,93,151,151,162,303,350,439,561,699,860,1065,1485,1980,2225,2577,2918,3280,3727,4203,4778,5296,5806,6263,6722,7280,8021,8772,9589,10462,11288,12207,13180,14026,14916,15827,16704,17488,18349,19254,20167,21100,22051,22972,23905,24872,25824,26771,27729,28680,29649,30571,31507,32425,33370,34302,35243,36197,37143,38058,38955,39857,40763,41657,42555,43402,44254,45115,45980,46867,47750,48629,49452,50264,51065,51815,52519,53240,53972,54679,55368,56031,56656,57332,57935
Belgium ,50.8333,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,22,49,108,168,199,238,266,313,313,558,688,885,1057,1242,1485,1794,2256,2814,3400,3742,4268,4936,6234,7283,9133,10835,11898,12774,13963,15347,16769,18430,19690,20813,22193,23402,24982,26666,28017,29646,30588,31118,33572,34808,36137,37182,38495,39982,40955,41888,42796,44292,45324,46133,46686,47333,47858,48518,49031,49516,49905,50266,50508,50780,51419,52010,52595,53080,53448,53778,53980,54287,54643,54988,55279,55558,55790,55982,56234,56510,56809,57091,57341,57454,57591,57848,58060,58185,58380,58516,58614,58684,58766,58906,59071,59225,59347,59436,59568,59710,59818,59917,60028,60099,60154,60243,60347,60475,60549
Colombia ,4.5709,-74.2973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,12,21,33,53,64,92,101,127,195,230,276,377,469,490,538,607,701,797,905,1064,1160,1266,1405,1484,1578,1779,2053,2222,2472,2708,2775,2851,2978,3104,3232,3438,3438,3791,3976,4148,4355,4560,4880,5141,5378,5596,5948,6206,6506,7005,7284,7667,7972,8612,8958,9455,10050,10494,11062,11612,12271,12929,13609,14215,14938,15573,16294,16934,17686,18329,19130,20176,21174,21980,23002,24103,24140,25405,26733,27218,29383,30592,31934,33465,36758,36758,38148,40846,40846,42205,43809,45343,46993,48895,53167,53210,55082,57201,60386,63453
Hubei | China ,30.9756,112.2707,31727,33365,33365,48205,54405,56248,58181,59988,61681,62030,62441,62661,64083,64083,64286,64785,65186,65595,65913,66336,66906,67102,67216,67331,67465,67591,67665,67706,67742,67759,67772,67780,67785,67789,67793,67797,67798,67799,67799,67799,67799,67799,67799,67800,67800,67800,67800,67800,67800,67800,67800,67801,67801,67801,67802,67802,67802,67802,67802,67802,67802,67802,67802,67802,67802,67802,67802,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68127,68128,68133,68133,68133,68133,68133,68133,68133,68133,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134,68134
Qatar ,25.3548,51.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,7,7,7,14,17,23,261,261,319,336,400,438,438,451,459,469,480,493,500,525,536,548,561,589,633,692,780,834,948,1074,1324,1603,1831,2056,2209,2375,2511,2727,2978,3230,3427,3710,4102,4662,5007,5447,6014,6532,7140,7763,8524,9357,10286,11243,11920,12563,13408,14095,14871,15550,16190,17141,17971,18889,20200,21330,22519,23622,25148,26538,28271,29424,30971,32603,33968,35605,37096,38650,40480,42212,43713,45464,47206,48946,50913,52906,55261,56909,58432,60258,62159,63740,65494,67194,68789,70157,71878,73594,75070,76587,78415,79601,80875,82076,83173,84440,85461,86487
South Africa ,-30.5595,22.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,12,16,23,37,50,61,61,115,149,201,239,273,401,553,708,926,1169,1186,1279,1325,1352,1379,1461,1504,1584,1654,1685,1748,1844,1933,2002,2027,2172,2271,2414,2505,2604,2782,3033,3157,3299,3464,3634,3952,4219,4360,4545,4792,4995,5349,5646,5950,6335,6782,7219,7571,7807,8231,8894,9419,10014,10651,11349,12073,12738,13523,14354,15514,16432,17199,18002,19136,20124,21342,22582,23614,24263,25936,27402,29239,30966,32682,34356,35811,37524,40791,43433,45972,48284,50878,52990,55420,58567,61926,65735,70037,73532,76333,80411,83889,87714,92680
Bangladesh ,23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,4,7,9,13,16,19,24,26,32,38,38,43,47,47,47,48,50,53,55,60,69,87,122,163,217,329,423,481,620,802,1011,1230,1571,1837,2143,2455,2947,3381,3771,4185,4688,4997,5415,5912,6461,7102,7666,8237,8789,9454,10142,10928,11718,12424,13133,13769,14656,15690,16659,17821,18862,20064,20994,22267,23869,25120,26737,28510,30204,32077,33609,35584,36750,38291,40320,42843,44607,47152,49533,52444,55139,57562,60390,63025,65768,68503,71674,74864,78051,81522,84378,87519,90618,94480,98488,102291,105534,108774
Saudi Arabia ,24.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,10,14,19,20,44,85,102,102,117,170,170,273,343,391,510,561,766,899,1011,1103,1202,1298,1452,1562,1719,1884,2038,2178,2401,2604,2794,2931,3286,3650,4032,4461,4933,5368,5861,6379,7141,8273,9361,10483,11630,12771,13929,15101,16298,17521,18810,20076,21401,22752,24096,25458,27010,28655,30250,31937,33730,35431,37135,39047,41013,42924,44829,46868,49175,52015,54751,57344,59853,62544,65076,67718,70160,72559,74794,76725,78540,80184,81765,83383,85260,87141,89010,91181,93156,95747,98868,101913,105282,108570,112287,116020,119941,123307,127540,132047,136314,141233,145990,150291,154232
Mexico ,23.6345,-102.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,5,5,6,6,6,7,11,25,40,52,81,92,117,163,202,250,315,366,404,474,584,716,847,992,1093,1214,1377,1509,1687,1889,2142,2438,2784,3180,3440,3843,4218,4660,5013,5398,5846,6296,6874,7496,8260,8771,9500,10543,11632,12871,13841,14676,15528,16751,17798,19223,20738,22087,23470,24904,26024,27633,29615,31521,33459,35021,36326,38323,40185,42594,45031,47143,49218,51632,54345,56593,59566,62526,65855,68619,71104,74559,78022,81399,84626,87511,90663,93434,97325,101237,105679,110025,113618,117102,120101,124300,129183,133973,139195,142689,146836,150263,154862,159792,165454,170484,175201
Pakistan ,30.3753,69.3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,4,4,5,5,5,5,15,18,19,27,30,52,135,235,298,453,500,729,775,874,971,1062,1200,1372,1494,1596,1716,1937,2117,2420,2685,2817,3156,3765,4034,4262,4488,4694,5010,5229,5495,5836,6382,6918,7024,7637,8347,8417,9564,10075,11154,11939,12722,13327,13914,14611,15524,16816,18113,19102,20083,20940,22048,24072,24643,26434,28735,30333,32080,34335,35297,35787,38798,38798,40150,42124,43965,45897,48090,50693,52436,54600,56348,57704,59150,61226,64027,66456,69495,72459,76397,80462,85263,89248,93982,98942,103670,108316,113701,119535,125932,125932,132404,144477,148920,154759,160117,165061,171665,176616
Turkey ,38.9637,35.2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,17,46,97,191,358,669,1235,1528,1871,2432,3628,5697,7401,9216,10826,13530,15678,18134,20920,23933,27068,30216,34108,38225,42281,47028,52166,56955,61048,65110,69391,74192,78545,82328,86305,90979,95590,98673,101789,104911,107772,110129,112260,114652,117588,120203,122391,124374,126044,127658,129490,131743,133720,135568,137114,138656,139770,141474,143113,144748,146456,148066,149434,150592,151614,152586,153547,154499,155685,156826,157813,158761,159796,160978,162119,163102,163941,164768,165554,166421,167409,168339,169217,170131,171120,172113,173035,174022,175217,176676,178238,179830,181297,182726,184030,185244,186492
Germany ,51.0,9.0,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,26,45,47,78,129,158,195,261,481,669,798,1039,1175,1456,1907,2077,3674,4584,5794,7271,9256,12326,15319,19847,22212,24872,29055,32985,37322,43937,50870,57694,62094,66884,71807,77871,84793,91158,96091,100122,103373,107662,113295,118180,122170,124907,127853,130071,131358,134752,137697,141396,143341,145183,147064,148290,150647,153128,154998,156512,157769,158757,159911,161538,163008,164076,164966,165663,166151,167006,168161,169429,170587,171323,171878,172575,173170,174097,174477,175232,175751,176368,176550,177777,178472,179020,179709,179985,180327,180599,181199,181523,182195,182921,183188,183409,183593,183878,184120,184471,184923,185449,185749,186108,186505,186521,186690,187225,187266,187517,187681,188251,188603,189816,190298,190669
France ,46.2276,2.2137,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,13,17,37,56,99,129,190,203,284,376,652,948,1125,1208,1783,2280,2280,3660,4468,4498,6632,7651,9042,10870,12611,14281,16017,19855,22303,25232,29154,32963,37574,40173,44549,52127,56988,59104,64337,68604,70477,74389,78166,82047,86333,90675,93789,120632,124297,129256,132472,144943,146922,146905,151807,154187,156920,154714,157025,158635,160291,160846,164588,167604,165092,165763,165763,166975,167271,167885,168934,172464,173039,174317,174757,175026,175478,176206,175980,176711,177318,177206,177239,177553,178427,179068,179305,179644,179963,179858,180165,179886,180043,183308,183815,185615,185850,185951,184979,188835,185985,186537,187066,187359,187457,187598,187995,188353,188917,189310,189601,189669,189594,189905,190106,190675,191111
Iran ,32.0,53.0,0,0,0,0,0,0,0,0,0,1,4,17,27,42,60,94,138,244,387,592,977,1500,2335,2921,3512,4746,5822,6565,7160,8041,8999,10074,11363,12728,13937,14990,16168,17360,18406,19643,20609,21637,23048,24810,27016,29405,32331,35407,38308,41494,44604,47592,50467,53182,55742,58225,60499,62588,64585,66219,68191,70028,71685,73302,74876,76388,77994,79493,80867,82210,83504,84801,85995,87025,88193,89327,90480,91471,92583,93656,94639,95645,96447,97423,98646,99969,101649,103134,104690,106219,107602,109285,110766,112724,114532,116634,118391,120197,122491,124602,126948,129340,131651,133520,135700,137723,139510,141590,143848,146667,148949,151465,154444,157561,160695,164269,167155,169424,171788,173831,175926,177937,180155,182524,184954,187426,189875,192438,195050,197646,200261,202583
Chile ,-35.6751,-71.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,7,12,22,22,42,60,73,154,200,237,237,433,536,631,745,921,1141,1305,1609,1908,2138,2448,2737,3030,3403,3736,4160,4470,4814,5115,5545,5971,6500,6926,7212,7524,7916,8272,8806,9251,9729,10087,10506,10831,11295,11811,12305,12857,13330,13812,14364,14884,16022,17007,18434,19662,20642,22015,23047,24580,25971,27218,28865,30062,31720,34380,37039,39541,41427,43780,46058,49578,53616,57580,61856,65392,69101,73996,77960,82288,86942,90637,94857,99687,105157,108685,113627,118291,122498,127744,134149,138845,142758,148455,154091,160845,167354,174292,179435,184448,220627,225102,231392,236747
Italy ,43.0,12.0,2,2,2,2,2,2,2,2,2,2,2,19,61,154,228,321,452,654,887,1127,1693,2035,2501,3088,3857,4635,5882,7374,9171,10148,12461,15112,17659,21156,24746,27979,31505,35712,41034,47020,53577,59137,63926,69175,74385,80588,86497,92471,97688,101738,105791,110573,115241,119826,124631,128947,132546,135585,139421,143625,147576,152270,156362,159515,162487,165154,168940,172433,175924,178971,181227,183956,187326,189972,192993,195350,197674,199413,201504,203590,205462,207427,209327,210716,211937,213012,214456,215857,217184,218267,219069,219813,221215,222103,223095,223884,224759,225434,225885,226698,227363,228005,228657,229326,229857,230157,230554,231138,231731,232247,232663,232996,233196,233514,233835,234012,234530,234800,234997,235277,235560,235762,236141,236304,236650,236988,237289,237499,237827,238158,238010,238274
Spain ,40.0,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,12,14,31,44,83,119,164,221,258,399,499,672,1072,1694,2276,2276,5231,6390,7797,9941,11747,13909,17962,20409,25373,28767,35135,39884,49514,57785,65718,73234,80109,87955,95922,104117,112064,119198,126167,131645,136674,141941,148219,153221,158272,163026,166830,170098,172540,177643,184947,190838,191725,198673,200209,204177,208388,213023,202989,205904,207633,209464,210772,212916,213434,215215,216581,217465,218010,219328,220324,221446,222856,223577,224349,227435,228029,228690,229539,230182,230697,230697,231605,232036,232554,233036,234823,235289,235771,235399,236258,236258,237905,238563,239227,239478,239637,239931,240325,240659,240977,241309,241549,241716,241965,242279,242706,243208,243604,243927,244108,244327,244682,245267,245574,245937
Peru ,-9.19,-75.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,10,14,27,37,42,85,116,144,233,233,317,362,394,415,479,579,634,670,851,949,1064,1322,1413,1594,1745,2280,2560,2953,4341,5255,5896,6847,7518,9783,10302,11474,12490,13488,14419,15627,16324,17836,19249,20913,21647,25330,27516,28698,31189,33930,36975,40458,42533,45927,47371,51188,54816,58525,61846,65014,67306,68821,72058,76305,80603,84494,88540,92272,94932,99482,104019,108768,111697,115753,119958,123978,129750,135904,141778,148284,155670,164475,170038,170038,178913,183197,187399,191757,196514,199695,203735,208822,214787,214787,220748,229735,232991,237155,240907,244387,244387,251337
United Kingdom ,55.3781,-3.4360000000000004,7,7,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,14,19,22,35,39,50,84,114,162,205,272,320,381,455,455,797,1139,1139,1542,1949,2625,2688,3982,5017,5682,6649,8076,9528,11657,14542,17088,19521,22140,25149,29473,33717,38167,41902,47805,51607,55241,60732,65076,73757,78990,84278,88620,93872,98475,103092,108691,114216,120066,124742,129043,133494,138077,143463,148376,152839,157148,161144,165220,171252,177453,182259,186598,190583,194989,201100,206714,211363,215259,219182,223059,226462,229704,233150,236710,240160,243694,246405,248817,248292,250907,254194,257153,259558,261183,265226,267239,269126,271221,272825,274761,276331,277984,279855,281660,283310,284867,286193,287398,289139,290142,291408,292949,294374,295888,296856,298135,299250,300468,301814,303109
India ,21.0,78.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,27,29,30,33,38,42,55,61,72,81,101,112,118,141,155,193,243,329,395,498,535,656,726,886,986,1023,1250,1396,1997,2542,2566,3081,3587,4777,5310,5915,6724,7597,8445,9204,10452,11486,12321,13429,14351,15721,17614,18538,20079,21369,23076,24529,26282,27889,29450,31323,33061,34862,37256,39698,42504,46436,49399,52986,56350,59694,62807,67160,70767,74291,78054,81996,85783,90647,95697,100327,106474,112027,118225,124793,131422,138535,144949,150792,158085,165385,173490,181826,190608,198369,207190,216823,226712,236183,246621,257485,265927,276145,286604,297534,308992,320921,332423,343090,354064,366945,380531,395047,410450
Russia ,60.0,90.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,12,12,16,16,19,19,27,44,58,62,89,113,146,198,252,305,366,437,494,657,839,1035,1263,1533,1835,2336,2776,3547,4148,4730,5388,6342,7496,8671,10130,11916,13583,15769,18327,21101,24489,27937,32007,36792,42852,47120,52762,57998,62772,68621,74587,80948,87146,93557,99398,106497,114430,124053,134686,145267,155369,165928,177159,187858,198675,209687,221343,232242,242270,252244,262842,272042,281751,290677,299940,308704,317553,326447,335881,344480,353426,362341,370679,379050,387622,396574,405842,414327,423185,431714,440537,449255,458101,467072,476042,484629,493022,501799,510760,519457,528266,536483,544724,552548,560320,568291,576161
Brazil ,-14.235,-51.9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,12,12,19,24,30,37,51,150,150,161,199,320,371,620,792,1020,1545,1923,2246,2553,2984,3416,3903,4255,4578,5716,6835,8043,9055,10359,11129,12160,14033,16169,18091,19637,20726,22191,23429,25261,28319,30424,33681,36657,38653,40742,43078,45756,50035,54042,59323,63099,67445,73234,79684,87186,92201,97099,101825,108619,115454,126610,135772,146893,156060,162698,169593,178213,190136,203164,220290,233510,241079,255367,271884,291578,310086,330889,347397,363210,374897,391221,411820,438237,465165,498439,514848,526446,555382,584015,614940,645770,672845,691757,707411,739502,772415,802827,828809,850513,867623,888270,923188,955376,978141,1032912,1032912
US ,37.0902,-95.7129,10,11,11,12,12,12,12,12,12,12,12,14,14,14,14,14,14,15,15,23,29,52,72,103,173,221,336,450,518,710,1108,1560,2156,2869,2967,4359,6140,8913,14152,19478,25817,33755,43844,54107,66043,84079,102253,122053,141193,162689,188700,214193,244592,276534,309698,337572,367209,397991,429685,464441,497942,527957,556516,581809,608844,637973,669271,701995,730316,756374,783715,809212,837413,871616,907907,940828,968516,990992,1015517,1042925,1072666,1106828,1136023,1161610,1184085,1208270,1233526,1261408,1288565,1314305,1334083,1352961,1374913,1396108,1423725,1449025,1474126,1493130,1514838,1535336,1558948,1584485,1608622,1630449,1651238,1670208,1689056,1707422,1730258,1754746,1778992,1799121,1816475,1837366,1857247,1878542,1903853,1926537,1944308,1961780,1979867,2000701,2023589,2048985,2074525,2094057,2114025,2137730,2163289,2191051,2222578,2255118
Diamond Princess | Canada ,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tibet | China ,31.6927,88.0924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon | France ,46.8852,-56.3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla | United Kingdom ,18.2206,-63.0686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
